Data/Hora,ID,X_DH,Y_DH,Z_DH
20:36:10,P_1,8.33,4.53,79.74
20:36:11,P_2,7.28,3.8,80.35
20:36:12,P_3,9.11,4.46,81.33
20:36:13,P_4,8.39,4.1,82.73
20:36:14,P_5,8.34,3.41,80.81
20:36:15,P_6,8.37,2.84,81.49
20:36:16,P_7,6.29,3.67,82.1
20:36:17,P_8,8.72,2.69,79.46
20:36:18,P_9,8.75,3.81,79.09
20:36:19,P_10,8.64,1.69,77.72
20:36:20,P_11,7.4,2.56,80.13
20:36:21,P_12,7.44,2.96,80.14
20:36:22,P_13,6.67,3.61,81.13
20:36:23,P_14,7.79,3.0,80.39
20:36:24,P_15,7.08,2.78,78.75
20:36:25,P_16,7.84,1.68,78.38
20:36:26,P_17,7.92,4.26,79.82
20:36:28,P_18,9.08,4.45,81.59
20:36:29,P_19,9.14,4.1,80.03
20:36:30,P_20,10.25,3.92,80.68
20:36:31,P_21,9.96,2.66,79.0
20:36:32,P_22,6.05,5.04,83.0
20:36:33,P_23,8.84,2.36,79.89
20:36:34,P_24,7.95,4.51,80.33
20:36:35,P_25,8.18,2.98,80.77
20:36:36,P_26,8.4,4.09,80.11
20:36:37,P_27,7.4,2.48,80.21
20:36:38,P_28,7.93,2.02,79.76
20:36:39,P_29,10.37,3.35,80.37
20:36:40,P_30,8.97,2.38,79.26
20:36:41,P_31,9.74,2.47,79.59
20:36:42,P_32,9.12,3.4,81.41
20:36:43,P_33,8.57,3.8,80.08
20:36:44,P_34,9.18,3.62,81.01
20:36:45,P_35,7.59,5.3,81.69
20:36:46,P_36,9.27,3.85,80.45
20:36:47,P_37,7.97,4.12,82.32
20:36:48,P_38,8.4,4.1,81.93
20:36:50,P_39,8.56,4.3,80.42
20:36:51,P_40,8.08,2.73,80.65
20:36:52,P_41,7.93,1.6,81.03
20:36:53,P_42,7.59,3.63,80.44
20:36:54,P_43,7.44,2.73,82.36
20:36:55,P_44,7.79,2.42,79.77
20:36:57,P_45,8.99,2.03,80.06
20:36:58,P_46,8.31,3.26,78.89
20:36:59,P_47,8.47,5.61,81.5
20:37:00,P_48,8.24,5.45,79.95
20:37:01,P_49,9.07,4.9,80.96
20:37:02,P_50,8.57,3.31,80.47
20:37:03,P_51,8.82,4.08,80.59
20:37:04,P_52,9.64,3.36,81.65
20:37:05,P_53,10.71,5.95,81.76
20:37:06,P_54,9.85,2.26,82.13
20:37:07,P_55,9.42,4.74,82.49
20:37:08,P_56,9.14,3.23,81.77
20:37:09,P_57,9.19,4.75,80.69
20:37:10,P_58,7.86,4.27,80.51
20:37:12,P_59,8.13,4.46,80.74
20:37:13,P_60,8.24,2.58,80.91
20:37:14,P_61,8.98,3.9,80.99
20:37:15,P_62,9.35,3.95,80.74
20:37:16,P_63,8.45,3.4,82.45
20:37:17,P_64,9.18,1.9,82.25
20:37:18,P_65,10.21,2.9,82.41
